Nom du Jeu,Genre,Plateforme,Date de Sortie,Prix,Description,Rating,Tags,Mode de Jeu,stock,Nouvelle_Colonne
Minecraft,Sandbox,Multi,2011-11-18 00:00:00,26.95,Un jeu de construction et d'aventure dans un monde infini.,2024-05-09 00:00:00,"Construction, Survie, Créativité","Solo, Multijoueur",4,https://images.app.goo.gl/YrArCQmdHLfjUmDv6
Grand Theft Auto V,Action-Aventure,Multi,2013-09-17 00:00:00,59.99,Un monde ouvert criminel avec trois protagonistes.,2024-07-09 00:00:00,"Action, Aventure, Monde ouvert","Solo, Multijoueur",1,https://images.app.goo.gl/R31pNvnoXrdLPFZJ7
The Legend of Zelda: Breath of the Wild,Action-Aventure,Nintendo Switch,2017-03-03 00:00:00,69.99,Explorez un vaste monde ouvert en tant que Link.,2024-08-09 00:00:00,"Aventure, Exploration, Puzzle",Solo,8,https://images.app.goo.gl/QAgUH2TumcP5J8726
Red Dead Redemption 2,Action-Aventure,Multi,2018-10-26 00:00:00,59.99,Une épopée western avec Arthur Morgan.,2024-07-09 00:00:00,"Action, Aventure, Monde ouvert","Solo, Multijoueur",8,https://images.app.goo.gl/6p5PTAkGqof2XhYCA
Among Us,Party,Multi,2018-06-15 00:00:00,Gratuit,Un jeu de déduction sociale dans l'espace.,2024-05-08 00:00:00,"Multijoueur, Déduction, Social",Multijoueur,9,https://images.app.goo.gl/E4ryk5gYi26Gkcfr8
Fortnite,Battle Royale,Multi,2017-07-25 00:00:00,Gratuit,Un jeu de survie compétitif avec construction.,2024-02-08 00:00:00,"Battle Royale, Construction, Survie",Multijoueur,8,https://images.app.goo.gl/UMtMGRtm48VVmjLB9
Cyberpunk 2077,RPG,Multi,2020-12-10 00:00:00,59.99,Un RPG futuriste dans une ville cyberpunk.,2024-03-07 00:00:00,"RPG, Action, Futuriste",Solo,4,https://images.app.goo.gl/1NX6TyekbeJmRJNf9
The Witcher 3: Wild Hunt,RPG,Multi,2015-05-19 00:00:00,39.99,Une aventure épique avec Geralt de Riv.,2024-03-09 00:00:00,"RPG, Aventure, Fantasy",Solo,3,https://images.app.goo.gl/1kHYbSBuzBBrD1jk6
FIFA 21,Sports,Multi,2020-10-09 00:00:00,69.99,Le jeu de football ultime avec des graphismes réalistes.,2024-08-07 00:00:00,"Sport, Football, Simulation","Solo, Multijoueur",1,https://images.app.goo.gl/57Mos8yMYur2EEhD8
Call of Duty: Modern Warfare,FPS,Multi,2019-10-25 00:00:00,59.99,Un reboot moderne de la série Call of Duty.,2024-01-08 00:00:00,"FPS, Action, Militaire","Solo, Multijoueur",6,https://images.app.goo.gl/6iLDE9uQMXARxcbg9
Animal Crossing: New Horizons,Simulation,Nintendo Switch,2020-03-20 00:00:00,59.99,Créez votre propre île paradisiaque.,2024-07-08 00:00:00,"Simulation, Créativité, Social","Solo, Multijoueur",10,https://images.app.goo.gl/hWWJRmWXjb9CriEH6
Spider-Man: Miles Morales,Action-Aventure,PlayStation 5,2020-11-12 00:00:00,49.99,Incarnez Miles Morales dans une nouvelle aventure Spider-Man.,2024-05-08 00:00:00,"Action, Aventure, Super-héros",Solo,2,https://images.app.goo.gl/zNHeeMii2qpevMCx6
Assassin's Creed Valhalla,Action-Aventure,Multi,2020-11-10 00:00:00,59.99,Une épopée viking avec Eivor.,8.0,"Action, Aventure, Historique",Solo,4,https://images.app.goo.gl/tWUCb11tbgpFGYAv9
Hades,Rogue-like,Multi,2020-09-17 00:00:00,24.99,Un rogue-like mythologique grec.,2024-03-09 00:00:00,"Rogue-like, Action, Mythologie",Solo,3,https://images.app.goo.gl/8zZBB9dSBguEw1h79
Final Fantasy VII Remake,RPG,PlayStation 4,2020-04-10 00:00:00,59.99,Un remake moderne du classique RPG.,2024-07-08 00:00:00,"RPG, Action, Fantasy",Solo,4,https://images.app.goo.gl/fM2L6NCtsbvKY8Zb8
